review,label
"Aplikasi shopping yang mudah banget penggunaannya, shippingnya juga cepat dan terdapat banyak pilihannya, easy shopping process nya bagus banget, menurut aku ini marketplace yang cocok banget buat belanja online sama banyak diskonnya. Seneng banget. Terimakasih zalora:)",Positif
Lebih bnyak pilihan fashion...Proses penukaran/ pengembalian mudah...,Positif
"Bagus si,cuma kenapa pas buka aplikasi nya suka tiba2 keluar sendiri,suka kesel kalo pas lagi liat2 produk trus keluar sendiri.",Positif
"recommended dan mudah barang"" bisa di pertanggungjawaban dengan toko pilihan",Positif
"Saya sangat suka belanja dishopee, karena barang yg datang semuanya amanah, dan bagus2. Dan harganya terjangkau lagi. Pokoknya saya langganan di shopee. Semenjak tau blnja di shopee, saya tidak pernah lagi blnja dipasar, atau di toko2 lain. Terimakasih shoppe, karena sudah menyediakan barang2 sesuai dengan kebutuhan kami. Pokoknya suka deh belanja di shopee.",Positif
"Sangat membantu mempercepat jual barang bekas, sukses selalu OLX untuk pertumbuhan ekonomi indonesia 👍",Positif
"Sangat membantu bila mau belanja online , harga cukup murah , bebas ongkir , bisa COD , garaansi tepat waktu dan ada hadiah disetiap bulannya .",Positif
"kenapa semua pesanan di alihkan ke SPX ,udah expedisiny lamban kadang paket ngk di antar langsung main retur aja ,ngk kayak jnt pelayanan nya udah cepat ramah lagi.ini spx suka"" nya aja mentang"" punya bapaknya shope ini,klo gini mending pake apk shop lain lah.",Positif
ZALORA - Fashion Shop Terbaik Aplikasi Terbaik 💯,Positif
"aplikasi yang menyenangkan untuk belanja beragam produk, kerenn !!!",Positif
"Aplikasi yg memudahkan untuk belanja,Seneng bgt blanja di Tokopedia banyak potongan diskon nya, jg gratis ongkir 🙏🙏🙏. Thanks Tokopedia semoga makin sukses",Positif
bagus bagus barang nya,Positif
"aku sih baru aja download aplikasinya,so,.aku tray buat orderan,ternyata,waaaoo,keren,barang yg kupesan datang cepat,barangpun ok..thank you Lazada, semoga senantiasa diberikan kelancaran Rezky,.Amin.",Positif
"senangnya belanja di shopee dapat gratis ongkir harga murah kualitas sesuai ., seller banyak yang amanah ., sudah beberapa kali aku belanja di shopee selain gak repot nyita waktu buat pergi dan bisa pilih barang dengan harga yang sesaui kurirnya juga ramah tadinya aku sering checkout di aplikasi biru tapi kurirnya gak ramah sama sekali jadi males mau belanja lagi dan lagi",Positif
"Anda punya masalah di bukalapak? Sebaiknya tinggalkan saja bukalapak, dan beralihlah ke e-commerce lain, yang lebih cepat merespon keluhan anda, dan bisa mudah diakses cs nya",Positif
Oke lah fiturnya bagus belanja mudah dan aman digunakan aplikasi juga sering update. Saya ada kendala update terbaru setiap melihat info barang selalu force close apa karena ram hp 1gb tidak cukup jadi hanya pakai versi 4.27.4 itu saja. Yang terpenting pelayanan prioritas utama sudah sangat memuaskan...,Positif
Sangat membantu utk cari refrensi hrga motor/mobil bekas,Positif
"Lazada, membantu mempermudah, belanja saya, dan lumayan untuk harga nya, lebih murahh, tapi kualitas nya lumayan baguus👍",Positif
lazada memang belanja online yg the best kita bsa belanja dg point gratis ongkir dpt diskon pengiriman cepat apa lagi pengguna baru dapat hadiah barang dg harga murah banget kurirnya jua alhamdulillah ramah,Positif
Sangat membantu sekali dengan adanya aplikasi olx jual beli apapun yg k8a ingin kan pasti selalu ada jalan,Positif
Ngerti perkembangan harga antara jual-beli sehingga sangat2 membantu / tahu seberapa harga barang yg aku mau .,Positif
"Aplikasi sangat membantu, beli apapun di aplikasi ini sangat mudah. Bisa semua jenis pembayaran, suport pembayaran virtual.banyak promo yang di sediakan.",Positif
"Sangat bermanfaat bagi saya dan keluarga, terima kasih buat Olx yang sudah membantu memasarkan iklan saya",Positif
"Dari cuma coba2 sampai keseringan, barang ori, dan sistem pengembalian yg sangat mudah serta terpercaya. Dan aku pernah tukar2 barang sampai 3 kali, dan itu pelayanannya bagus banget. Dan ini satu2nya yang aku rekomendasikan ke keluarga dan sahabat.",Positif
"mantap blibli, banyak diskon & gratis ongkir",Positif
"Jujur semenjak aqu mulai belanja di shopee aqu merasa candu karena apa yg aqu mau se',suami kebutuhanqu untuk sekarang aqu gak merasa kecewa semoga ke'depanya gak bikin aqu bosan good 👍untuk produk yg aqu beli bisa buat aqu senang mksih shopee keren abis👍🙏🙏",Positif
Mantab. mudah dan respon cepat.,Positif
"Sangat bagus, dan banyak promonya",Positif
Serba duit klu bisa gratis olx pasti rami Karana banyak bayar jdi agak ribet TPI bagus sekali untuk mempermudah menjual barang pribadi olx klu bisa gratis nya di perbanyak... Biar bisa pasang ikln,Positif
aplikasi yg baik memudahkan buat belanja segala keperluan dengan harga yang sangat jauh berbeda dengan toko sekitar. kualitan sama original imitasi dll. tergantung yang mana maunya...,Positif
"Bagus lazada . Belanja online yg cepat dan tepat . Barang"" nya jga kece kece Tapi sayang skrg sistem gratis ongkir ny ga ada kenapa ya.",Positif
Simple dan bagus Enak belanja disini,Positif
"Sangat Puas belanja di Zalora barang nya lengkap sesuai gambar .. bisa return lagi klo ga sesuai ,, wajib download,, semua nya mudah & ok klo blanja di Zalora ,, recomended banget deh 👍👍👍😍😍😍",Positif
"cara kerja aplikasi ini sangat membantu usaha saya,, dulu saya sering pakai jasa toko hijau tokped, setelah kenal shopee akhirnya beralih ke aplikasi shopee caranya simpel mudah dan banyak promo ongkir gratis, dan tdk lupa punya fitur bisa menggunakan 2-3 akun belanja di nomor yg berbeda, good shopee 👍👍",Positif
mantap sering gratis ongkir dan diskonnya yah,Positif
Senang menggunakan aplikasi ini bisa bebas pilih jasa pengiriman dan pengalaman berbelanja menyenangkan,Positif
"Suka sekali belanja di shoppe.aplikasih yg sangat membantu,sa,at membeli barang yg mudah dan cepat. Apa lagi byk casbacknya Trimakasih shoppee selalu langganan🙏🙏🙏🥰",Positif
"cukup menyenangkan walaupun ada kecewanya.di saat pembelian barang atau kualitas barang dan harga yang tak sesuai dalam produk nya... dan untuk LAZADA,toko dan kurirnya saya ucapkan TERIMAKASIH banyak",Positif
Membantu sekali dalam pembelian kelas di prakerja,Positif
"Alhamdulillah udah 2x belanja disini aman2 aja. Yang pertama karena mungkin dulu pas lebaran jd nyampe agak lama. Yg sekarang nyampenya cepet. Barang bagus, oke. Aku dapet cashback 150ribu juga hehe banyak voucher diskonan juga jadi double2 bonusnya hehehe semoga lebih baik kedepannya ya..",Positif
Barang bagus sesuai diskripsi,Positif
"untuk ekspedisi paket spx kurir shopee kebanyakan ngetem paketnya ....1 harian transit DC pdhal sudh di sortir terakhir pagi kenapa nunggu besok dikirim ke alamat , lebih cepat lebih baik malah bagus ...tingkatkan lagi jgn tergantung di ekpatasi waktu lebih cepat dikirim lebih bagus malah sampai ke konsumen",Positif
Belanja di shopy senang banget. Jika salah mudah di balikan.. Saran saya... Penjual yg tidak benar bagusnya di blokir. Jadi pelanggan tidak takut belanja kena tipu. Semenjak saya belanja di shopy ... Alhamdulilah pelayanannya baik..dan bertanggung jawab.,Positif
"Saya sangat suka dengan aplikasi shoppe ini , saya bisa belanja apa aja semua ada shoppe aplikasi nya sangat bagus dan harganya murah ² harga grosir semua toko baju toko mekuup semua ada di shoppe dn harga²nya yg sangat terjangkau di tambah ada voucher dan gratis ongkir sya jadi sukaaa bangett♥️♥️♥️♥️♥️",Positif
Sangat membantu mengetahui harga kendaraan bekas... Sehingga mempermudah kita menjual...,Positif
Enaknya belanja di blibli transaksinya mudah. Banyak bonus 😊,Positif
alhamdulillah lancar dan pelayanannya juga baik,Positif
"Mantap dan sangat membantu, mudah dalam berbelanja",Positif
"bagus bangettt, gratis ongkirnya banyak cashback nya juga banyak pokoknya mantap betul dehhh, terimakasih blibli ❤️",Positif
mksh ya ..blanja di bukalapak emg mantep barangnya kualitas ori dan pengemasan juga trbaik.. kurirnya juga oke untuk kurir j&t mksh bgt.. untuk aplikasi bukalapak tolong lebih di tingkatkan lagi untuk sistem COD nya biar semua jadi lebih mudah .. krna saya tidak pnya sistem pembayaran e-wallet dan perbank'kan.. lebih mudah sistem COD,Positif
"Aplikasi ini sangat membantu saya,,tapi kalo bisa di tambah fitur cek via pengiriman otomatis di setiap daerah sesuai alamat,,soalnya ada beberapa daerah yg hanya punya via pengiriman jnt aja,,kalo udah terlanjur pesan tapi pengirimannya lewat jasa kirim yg gak ada di daerah saya,,jadi harus nunggu sampe berminggu minggu baru bisa dana di kembalikan lagi,,mohon di tinjau lagi",Positif
"Aplikasi ini sangat membantu memenuhi segala kebutuhan, fiturnya lumayan lengkap juga, udah gitu banyak promo menarik baik hari biasa maupun even. Gamenya juga menarik dan menantang bikin kita susah lepas, cuman sayang sekali banyak sekali yang mengandung judi. Ya gpp sih kalo itu memang baik silakan lanjutkan sesuka hati anda jika itu membuat bisnis anda semakin melejit.",Positif
"mantap, tidak perlu ribeeet, belanja langsung dalam genggaman kita 👍👍👍👍👍🙏",Positif
mantap banyak diskon pengiriman,Positif
"Aku udah make Lazada dari lama, jadi kerasa banget lah perubahan nya. untuk tampilan UI nya lebih baik, nyaman dilihat tapi ringan gak bikin memori mentok. Tambahan fiturnya juga jelas dan mudah digunakan misal ada mode gelap yang bantu banget klo dipake di malam hari. klo dari pengalaman belanjanya sendiri tetep sama kyk dulu, meskipun ongkirnya naik tapi voucher ongkirnya juga ada jadi tetep murah. pilihan barang menurut ku udah variatif tapi masih perlu diperluas lagi. semoga makin baik.👋🏻",Positif
Bagus dan membantu...cuma di info lowo ga bs di buka bug,Positif
"Belanja di Zalora sangat baik,karena kualitas barang yg di order sangat bagus,dan orisinil 👍👍",Positif
Aplikasi nya bagus bagett harga nya lebih murah dari apk sebeleh tpi kualitas nya sama dan ga murahan pokoknya best banget👍🏻,Positif
"4 saya kasih bintang ranking aplikasi nya bosku, nanti, esok hari bagus. Baru saya kasih bintang ranking aplikasi nya ke seluruhan 5 bintang",Positif
"Pengoperasian aplikasinya cukup mudah.. Sejuk di mata.. Saran : Untuk keterangan (Produk Deskripsi), spasinya ditambah.. supaya tidak terlalu rapat..",Positif
"Penggunaan aplikasi mudah, pelayanan mantap, produk beraneka ragam tinggal pilih dgn mutu sesuai harga, banyak promo & discount, serta proses klaim pengembalian mudah (sudah terbukti). Pokoknya nyaman belanja di Shopee.",Positif
"Gak pernah kecewa belanja di lazada, pembayaran nya mudah, dan produk2 yang di jual berkualitas semua. Saya belanja dari jaman masih gadis sampai sekarang udah berkeluarga. Lazada mantap jiwa 👍",Positif
"Manggtaapp !! Tokopedia, sudah bertahun belakangan selalu belanja di Tokopedia, kepastian proses dan pengiriman nya jelas, pembayaran gampang, banyak diskon gratis ongkir Tooopp bach !!",Positif
"Selalu suka belanja di Lazada, karena gratis ongkir dan laz reward yg tidak bersyarat Saran aja buat para seller: kadang seller kurang teliti ada pernah barang kurang tapi bagus nya langsung diganti laz saldo, request warna yang sering tidak sesuai.harus diperbaiki lagi jika memang stok kosong,seller harusnya jangan asal kirim,baiknya konfirmasi ke pembeli agar tidak terjadi pengembalian barang,dan membuat kecewa konsumen terimakasih sukses terus buat kalian",Positif
Mantap dan cepat untuk pencarian barang yang di ingin kan.👍👍,Positif
"Senang sekali dengan adanya OLX,mencari dan menjual barang2 lebih mudah Terima kasih OLX sudah mempermudah banyak orang🙏",Positif
Thanks olx...banyak bantu jual barang saya...tapi kalau jual motor banyak penipunya...semoga olx makin maju dan sukses ya...,Positif
"Aplikasinya sangat membantu peserta yang lolos di prakerja dan membeli pelatihannya ,belanja dibuka lapak aja lebih murah dan terpercaya .",Positif
"Kalo seandai bintangnya bisa 100 pasti saya kasih 100 dah. Udah praktis, mudah di mengerti, packing rapih pisan, selalu respon 24 jam. pengiriman cepat + SS. Sayang di daerahku belum terdaftar langsung pengiriman dari BES, masih pake expedisi lain. Tingkatkan terus blibli, sukses. Aku akan setia untukmu.",Positif
"Makin ribet, dulu di kolom pencarian kita bisa langsung nyari toko nya dengan mudah. Trus kategori barang juga sekarang dihilangkan, padahal sebenernya fiturnya membantu banget, kecewa pokok nya #saran, diberikan fitur tambahan boleh lah, tapi janganlah sampai buang fitur yang sudah ada",Positif
Cari barang baru atau second mudah disini dan suka dengan gratis ongkirnya mantapp. Tapi sekarang kenapa jarang ada gratis ongkir ya jadi saya terbatas belanjanya hanya kebutuhan yg gak ada di e-commerce lain baru beli disini. Semoga promo gratis ongkirnya ada lagi. Terimakasih 🙏,Positif
"Untuk saat ini berbelanja di shopee masih aman2 aja,dan sangat memuaskan,semoga kedepannya dibuat menjadi lebih baik lagi, terutama diskon dan bebas ongkirnya, program COD (cek dulu) ini juga sangat membantu kami sebagai pelanggan utk berbelanja lebih hati2,tks shopee🙏",Positif
"Sebelumnya ini CUKUP puas belanja disini, harga bersaing terutama produk grocery, free ongkir dengan syarat dan batas maksimal tertentu,... Dibanding Lazada, tidak free biaya layanan jika Pembayaran dengan menggunakan credit card Saingan yang sepadan menurut saya JD.id Semoga makin maju... Tapi kalau boleh dibanding dengan kompetitor nya Dibanding tokopedia, Kurang fleksibel dalam permohonan pembatalan pesanan... Diganti dalam bentuk voucher... dan proses-nya tidak mudah, dan bersifat pengajuan",Positif
Dengan ada nya aplikasi Shopee belanja jadi lebih simpel dan praktis banyak discon nya juga harga jadi semakin murah semoga semakin maju dan tidak mengecewakan 👍👍👍,Positif
"menurut saya aplikasi mudah dipahami, minim bug, ada game plus dapat koin, aplikasi tidak berat, hanya saja penukaran koin terbatas, tidak bisa maksimal.",Positif
Sangat membantu untuk mencari kebutuhan otomotif dan gadget bekas yang berkualitas,Positif
baru nyoba belanja di Zalora. .banyak yg bilang produknya ORI... ternyata bisa cod. seperti sophee dan tiktok juga...mantap mantap...lebih mudah pemesanan dan pembayaranya,Positif
bagus sekali.. sangat puas dgn aplikasinya,Positif
"Shopee sngt membantu, suka skli blnj dshopee palagi klo ada bnyk discount, pngn blnj trs,he.e.e blnja apa sj tdk prlu kluar rmh, tinggal klik apa yg mw dibeli tinggal tunggu pesanan sampai drmh, enak g ribet, mksh shopee.",Positif
"Terima kasih OLX!! Yg butuh alat musik gitar, bass, ampli, men accecories, property dll hubungi saya atau kunjungi ig kami di ledley.co",Positif
"Untuk dipake belanja membantu sekali, cocok sekali bagi saya......tapi sayang aplikasi agak berat, itu aj sih kekurangannya",Positif
